"Município";"2021";"2022";" Total"
"320010 AFONSO CLAUDIO";"41,53";"72,22";"57,24"
"320013 AGUIA BRANCA";"33,33";"79,07";"56,47"
"320016 AGUA DOCE DO NORTE";"67,89";"43,17";"55,76"
"320020 ALEGRE";"84,97";"24,80";"55,32"
"320030 ALFREDO CHAVES";"94,84";"65,87";"81,85"
"320035 ALTO RIO NOVO";"73,00";"42,22";"58,42"
"320040 ANCHIETA";"81,11";"65,79";"73,25"
"320050 APIACA";"123,44";"104,05";"113,04"
"320060 ARACRUZ";"90,81";"89,61";"90,22"
"320070 ATILIO VIVACQUA";"87,25";"67,11";"77,08"
"320080 BAIXO GUANDU";"99,75";"64,62";"82,34"
"320090 BARRA DE SAO FRANCISCO";"75,20";"56,20";"65,73"
"320100 BOA ESPERANCA";"70,81";"56,81";"63,32"
"320110 BOM JESUS DO NORTE";"118,39";"118,67";"118,52"
"320115 BREJETUBA";"77,18";"66,35";"72,16"
"320120 CACHOEIRO DE ITAPEMIRIM";"91,70";"103,88";"97,73"
"320130 CARIACICA";"86,97";"50,93";"69,34"
"320140 CASTELO";"91,95";"107,83";"100,00"
"320150 COLATINA";"33,52";"14,87";"24,14"
"320160 CONCEICAO DA BARRA";"72,17";"23,74";"47,63"
"320170 CONCEICAO DO CASTELO";"13,89";"2,27";"8,15"
"320180 DIVINO DE SAO LOURENCO";"62,07";"71,88";"67,21"
"320190 DOMINGOS MARTINS";"74,46";"41,40";"58,50"
"320200 DORES DO RIO PRETO";"101,19";"94,87";"98,15"
"320210 ECOPORANGA";"90,94";"50,66";"70,22"
"320220 FUNDAO";"51,69";"50,19";"50,94"
"320225 GOVERNADOR LINDENBERG";"67,67";"58,96";"63,30"
"320230 GUACUI";"100,00";"83,41";"91,61"
"320240 GUARAPARI";"82,39";"65,33";"73,85"
"320245 IBATIBA";"90,43";"94,63";"92,51"
"320250 IBIRACU";"60,53";"37,27";"49,86"
"320255 IBITIRAMA";"27,74";"61,11";"44,84"
"320260 ICONHA";"91,11";"64,18";"77,70"
"320265 IRUPI";"32,11";"90,96";"59,36"
"320270 ITAGUACU";"94,29";"56,58";"74,66"
"320280 ITAPEMIRIM";"46,29";"71,86";"59,17"
"320290 ITARANA";"84,82";"88,50";"86,67"
"320300 IUNA";"34,65";"69,18";"50,70"
"320305 JAGUARE";"52,31";"59,96";"56,28"
"320310 JERONIMO MONTEIRO";"102,08";"96,72";"99,62"
"320313 JOAO NEIVA";"54,39";"50,00";"52,09"
"320316 LARANJA DA TERRA";"88,98";"81,73";"85,59"
"320320 LINHARES";"96,27";"18,43";"56,98"
"320330 MANTENOPOLIS";"92,02";"28,73";"58,72"
"320332 MARATAIZES";"105,57";"68,71";"86,92"
"320334 MARECHAL FLORIANO";"105,33";"63,86";"85,71"
"320335 MARILANDIA";"60,82";"56,21";"58,64"
"320340 MIMOSO DO SUL";"101,07";"82,64";"91,73"
"320350 MONTANHA";"81,04";"87,77";"84,46"
"320360 MUCURICI";"55,56";"32,89";"43,92"
"320370 MUNIZ FREIRE";"45,08";"89,58";"66,27"
"320380 MUQUI";"108,28";"97,18";"103,22"
"320390 NOVA VENECIA";"73,48";"70,27";"71,89"
"320400 PANCAS";"83,61";"75,00";"79,44"
"320405 PEDRO CANARIO";"91,58";"36,72";"67,15"
"320410 PINHEIROS";"78,02";"26,52";"52,65"
"320420 PIUMA";"64,90";"57,06";"60,97"
"320425 PONTO BELO";"129,87";"40,24";"83,65"
"320430 PRESIDENTE KENNEDY";"91,86";"75,58";"83,79"
"320435 RIO BANANAL";"106,12";"35,25";"71,68"
"320440 RIO NOVO DO SUL";"53,50";"87,69";"68,99"
"320450 SANTA LEOPOLDINA";"86,73";"32,26";"58,23"
"320455 SANTA MARIA DE JETIBA";"96,51";"74,92";"86,11"
"320460 SANTA TERESA";"93,62";"71,05";"82,23"
"320465 SAO DOMINGOS DO NORTE";"85,71";"56,31";"71,63"
"320470 SAO GABRIEL DA PALHA";"38,74";"22,77";"30,24"
"320480 SAO JOSE DO CALCADO";"98,44";"88,89";"93,88"
"320490 SAO MATEUS";"93,00";"22,80";"56,92"
"320495 SAO ROQUE DO CANAA";"98,17";"76,85";"87,56"
"320500 SERRA";"90,45";"86,65";"88,56"
"320501 SOORETAMA";"92,57";"20,67";"56,38"
"320503 VARGEM ALTA";"88,85";"90,28";"89,52"
"320506 VENDA NOVA DO IMIGRANTE";"145,56";"156,33";"150,72"
"320510 VIANA";"85,09";"40,78";"63,15"
"320515 VILA PAVAO";"75,00";"67,96";"71,36"
"320517 VILA VALERIO";"31,88";"45,37";"38,60"
"320520 VILA VELHA";"89,02";"78,78";"83,99"
"320530 VITORIA";"91,81";"55,12";"74,13"
"Total";"84,43";"63,79";"74,22"
