ano;municipio;vacina;sigla_uf;lat;lon;cobertura_vacinal
2021;AFONSO CLAUDIO;BCG;ES;-20,0778;-41,1431;11,865714285714287
2021;AGUIA BRANCA;BCG;ES;-18,9819;-40,7381;33,33
2021;AGUA DOCE DO NORTE;BCG;ES;-18,5475;-40,9856;56,574999999999996
2021;ALEGRE;BCG;ES;-20,7633;-41,5333;28,323333333333334
2021;ALFREDO CHAVES;BCG;ES;-20,6341;-40,7502;63,22666666666667
2021;ALTO RIO NOVO;BCG;ES;-19,0569;-41,0183;91,25
2021;ANCHIETA;BCG;ES;-20,8058;-40,6441;23,174285714285713
2021;APIACA;BCG;ES;-21,1511;-41,5683;100,0
2021;ARACRUZ;BCG;ES;-19,8202;-40,2733;8,255454545454546
2021;ATILIO VIVACQUA;BCG;ES;-20,9144;-41,1963;72,70833333333333
2021;BAIXO GUANDU;BCG;ES;-19,5186;-41,0152;28,499999999999996
2021;BARRA DE SAO FRANCISCO;BCG;ES;-18,7547;-40,8908;16,711111111111112
2021;BOA ESPERANCA;BCG;ES;-18,5402;-40,2963;44,25625
2021;BOM JESUS DO NORTE;BCG;ES;-21,1147;-41,7313;100,0
2021;BREJETUBA;BCG;ES;-20,145;-41,28;51,45333333333334
2021;CACHOEIRO DE ITAPEMIRIM;BCG;ES;-20,8489;-41,1128;3,8208333333333337
2021;CARIACICA;BCG;ES;-20,2638;-40,42;1,9326666666666665
2021;CASTELO;BCG;ES;-20,6041;-41,1969;22,9875
2021;COLATINA;BCG;ES;-19,5314;-40,6316;2,3942857142857146
2021;CONCEICAO DA BARRA;BCG;ES;-18,5933;-39,7322;20,62
2021;CONCEICAO DO CASTELO;BCG;ES;-20,3683;-41,2436;10,684615384615386
2021;DIVINO DE SAO LOURENCO;BCG;ES;-20,6202;-41,7333;100,0
2021;DOMINGOS MARTINS;BCG;ES;-20,3633;-40,6591;18,615
2021;DORES DO RIO PRETO;BCG;ES;-20,7283;-41,8452;100,0
2021;ECOPORANGA;BCG;ES;-18,3736;-40,8305;36,376
2021;FUNDAO;BCG;ES;-19,9327;-40,4055;25,845000000000002
2021;GOVERNADOR LINDENBERG;BCG;ES;-19,2458;-40,4588;56,39166666666667
2021;GUACUI;BCG;ES;-20,7755;-41,6794;28,57142857142857
2021;GUARAPARI;BCG;ES;-20,6667;-40,495;6,337692307692308
2021;IBATIBA;BCG;ES;-20,2344;-41,5113;32,29642857142858
2021;IBIRACU;BCG;ES;-19,8275;-40,3711;46,56153846153846
2021;IBITIRAMA;BCG;ES;-20,5405;-41,6672;30,822222222222223
2021;ICONHA;BCG;ES;-20,7933;-40,8105;65,07857142857144
2021;IRUPI;BCG;ES;-20,3447;-41,6427;22,935714285714283
